Department: Computer Science
Location: Technology Hall

Courses Offered

	CS 107, CS 108, CS 114, CS 144, CS 172
	CS 189, CS 190, CS 198, CS 211, CS 215
	CS 226, CS 238, CS 247, CS 273, CS 283
	CS 288, CS 302, CS 314, CS 317, CS 320
	CS 322, CS 334, CS 338, CS 342, CS 349
	CS 355, CS 363, CS 376, CS 378, CS 389
	CS 397, CS 404, CS 431, CS 480, CS 483
	CS 488, CS 489, CS 493, CS 500, CS 503
	CS 533, CS 555, CS 566, CS 567, CS 599


Classroom Preferences:
	CS 342 must be taught in Technology Hall, room 342
	CS 503 must be taught in Technology Hall, room 242


Faculty Assignments:
Dr. Able, CS 172, CS 238, CS 355 - Preference: Morning classes only
Dr. Brovo, CS 322, CS 483, CS 503 - Preference: None
Dr. Charlie, CS 114, CS 283, CS 389 - Preference: None
Dr. Dog, CS 363, CS 488, CS 533 - Preference: None
Dr. Echo, CS 107, CS 226, CS 342 - Preference: Morning classes only
Dr. Foxtrot, CS 338, CS 480, CS 555 - Preference: None
Dr. Golf, CS 190, CS 288, CS 317 - Preference: All Tues-Thurs classes
Dr. Hotel, CS 302, CS 404, CS 500 - Preference: None
Dr. India, CS 108, CS 247, CS 397 - Preference: None
Dr. Juliet, CS 349, CS 489, CS 599 - Preference: Morning classes only
Dr. Kilo, CS 189, CS 215, CS 320 - Preference: None
Dr. Lima, CS 314, CS 431, CS 566 - Preference: None
Dr. Mike, CS 144, CS 211, CS 376 - Preference: None
Dr. November, CS 378, CS 493, CS 567 - Preference: None
Dr. Oscar, CS 198, CS 273, CS 334 - Preference: All Tues-Thurs classes
